workerid,proliferate.condition,chance,id,error
81,Main,81,15,
81,Main,39,25,
81,Main,57,11,
81,Main,62,21,
81,Main,34,40,
81,Main,100,5,
81,Main,59,28,
81,Main,0,52,
81,Main,0,31,
81,Main,30,23,
81,Main,23,4,
81,Main,100,41,
81,Main,32,47,
81,Main,100,46,
81,Main,0,3,
81,Main,62,18,
81,Main,27,37,
81,Main,2,13,
90,Main,4,47,
90,Main,66,14,
90,Main,53,35,
90,Main,69,31,
90,Main,100,22,
90,Main,37,36,
90,Main,11,30,
90,Main,11,13,
90,Main,0,53,
90,Main,56,6,
90,Main,67,28,
90,Main,44,1,
90,Main,29,38,
90,Main,45,42,
90,Main,31,10,
90,Main,30,19,
90,Main,18,34,
90,Main,11,44,
90,Main,100,5,
90,Main,100,48,
90,Main,62,12,
90,Main,80,17,
90,Main,66,32,
90,Main,43,43,
90,Main,24,52,
90,Main,33,20,
90,Main,30,11,
90,Main,100,49,
90,Main,100,15,
90,Main,100,50,
90,Main,100,33,
90,Main,38,37,
90,Main,30,39,
90,Main,73,16,
90,Main,59,7,
90,Main,64,41,
90,Main,100,46,
90,Main,92,24,
90,Main,58,4,
90,Main,84,45,
90,Main,24,21,
90,Main,36,29,
90,Main,93,26,
90,Main,100,9,
90,Main,30,2,
90,Main,56,3,
90,Main,70,40,
90,Main,12,27,
90,Main,85,23,
90,Main,36,8,
90,Main,66,18,
90,Main,33,51,
90,Main,23,25,
97,Main,87,11,
97,Main,100,15,
97,Main,40,13,
97,Main,100,33,
97,Main,100,45,
97,Main,19,38,
97,Main,69,1,
97,Main,63,12,
97,Main,73,6,
97,Main,77,37,
97,Main,74,40,
97,Main,70,19,
97,Main,78,42,
97,Main,80,14,
97,Main,41,52,
97,Main,0,25,
97,Main,82,18,
97,Main,66,16,
97,Main,100,48,
97,Main,81,22,
97,Main,76,7,
97,Main,56,29,
97,Main,74,10,
97,Main,100,20,
97,Main,35,34,
97,Main,57,32,
97,Main,77,21,
97,Main,75,35,
97,Main,78,31,
97,Main,55,23,
97,Main,100,39,
97,Main,59,36,
97,Main,57,8,
97,Main,60,41,
97,Main,72,2,
97,Main,100,46,
97,Main,82,24,
97,Main,0,53,
97,Main,100,26,
97,Main,78,28,
97,Main,77,27,
97,Main,100,9,
97,Main,62,43,
97,Main,79,47,
97,Main,100,17,
97,Main,73,30,
97,Main,75,44,
97,Main,28,51,
97,Main,100,5,
97,Main,100,50,
97,Main,73,4,
97,Main,100,49,
97,Main,75,3,
95,Main,4,19,
95,Main,0,32,
95,Main,0,14,
95,Main,0,39,
95,Main,0,3,
95,Main,0,29,
95,Main,100,50,
95,Main,100,20,
